artist,song,lyrics,genres,genre_1,genre_2,genre_3
Tove Lo,Perfect Loop,"I wear my heart on my sleeves so he knows how I feel

Whatever he believes I'm in it for real 

He questions everything, I wanna make him feel safe

Take him under my wing, that's his favourite space 



Because you know that we were in a perfect loop 

I don't wanna lose this, lose this feelin' with you 

We're in a perfect loop, I don't wanna break it down 

We're in a perfect loop, totally perfection the sound and the beat of our hearts 

We're in a perfect loop, and I don't wanna break it down 



He's always watching me with a hint of a smile 

And he will let me breath without asking me why 

Gets me out of the dark, I've always laughed at his jokes 

I guess we have that spark and now we already know 



Yeah, you know that we were in a perfect loop

I don't wanna lose this, lose this feelin' with you

We're in a perfect loop, and I don't wanna break it down 

We're in a perfect loop, totally perfection the sound and the beat of our hearts 

We're in a perfect loop, and I don't wanna break it down 

(Don't break it down)



Don't don't break it down

Don't break it down

Don't don't break it down



Don't don't break it down

Don't break it down

Don't don't break it down



We're in a perfect loop and I don't wanna lose this, lose this feelin' with you 

We're in a perfect loop, I don't wanna break it down, no

We're in a perfect loop, totally perfection the sound and the beat of our hearts 

We're in a perfect loop, and I don't wanna break it down



Don't break it down

Don't break it down

Don't break it down","unreleased, tove lo, pop",unreleased,tove lo,pop
Daft Punk,One More Time / Aerodynamic,,"electronic, house, dance",electronic,house,dance
t.A.T.u.,All My Love,"Love me for who I am

Love me for who I am

Love me for who I am

I'm yours



Love me for who I am

Love me for who I am

Love me for who I am

I'm yours



I regret what I said

I was scared and upset

And I've made a mistake

I accept all the blame

And I lied

Sorry, forgive me

Please



And I know I betrayed

Every fault that I made

And the pain that I caused

All the promises lost

Yes I lied

Sorry, forgive me



Won't you please just love me

And hold me

And tell me you forgive me

Love me and hold me

I'm sorry

Won't you please forgive...



Love me for who I am

Love me for who I am

Love me for who I am

I'm yours



Love me for who I am

Love me for who I am

Love me for who I am

I'm yours



I regret what I said

I was scared and upset

And I've made a mistake

I accept all the blame

And I lied

Sorry, forgive me

Please



And I know I betrayed

Every fault that I made

And the pain that I caused

All the promises lost

Yes I lied

Sorry, forgive me



Won't you please just love me

And hold me

And tell me you forgive me

Love me and hold me

I'm sorry

Won't you please forgive...","pop, russian, female vocalists",pop,russian,female vocalists
Bruno Martini,Somewhere To Go (Feat. Stryder),,"electronic, brazilian, brazil",electronic,brazilian,brazil
Massive Attack,Protection,"This girl I know needs some shelter

But she don't believe anyone can help her

She's doing so much harm, doing so much damage

But you don't wanna get involved

You tell her she can manage

And you can't change the way she feels

But you could put your arms around her

I know you wanna live yourself

But could you forgive yourself

If you left her just the way you found her?



I stand in front of you

I'll take the force of the blow

Protection

I stand in front of you

I'll take the force of the blow

Protection



You're a boy and I'm a girl

But you know you can lean on me

And I don't have no fear

I'll take on any man here

Who says that's not the way it should be?



And I'll stand in front of you

I'll take the force of the blow

Protection

I'll stand in front of you

I'll take the force of the blow

Protection



She's a girl and you're a boy

But sometimes you look so small, you look so small

You got a baby of your own

And when your baby's grown, she'll be the one

To catch you when you fall



And I'll stand in front of you

I'll take the force of the blow

Protection

I'll stand in front of you

I'll take the force of the blow

Protection



You're a girl and I'm a boy

You're a girl and I'm a boy, yeah

You're a girl and I'm a boy

You're a girl and I'm a boy, yeah



But sometimes you look so small, you need some shelter

You're just runnin' 'round and 'round, helter skelter

And I've leaned on you for years, now you can lean on me

And that's more than love, that's the way it should be

Now, I can't change the way you feel

But I could put my arms around you

That's just part of the deal, that's the way I feel

I'll put my arms around you



I stand in front of you

I'll take the force of the blow

Protection

I stand in front of you

I'll take the force of the blow

Protection



You're a boy and I'm a girl

You're a boy and I'm a girl, yeah

You're a boy and I'm a girl

You're a boy and I'm a girl, yeah","trip-hop, lush, chillout",trip-hop,lush,chillout
Benny Benassi,Every Single Day,,"electronic, house, dance",electronic,house,dance
Björk,Cosmogony,,,,,
Björk,There's More To Life Than This,,,,,
The Prodigy,Rock 'n' Roll,,"electronic, techno, industrial",electronic,techno,industrial
Owl City,Dementia (Feat. Mark Hoppus),,,,,
