ALink,SName,Lyric,genres,genre_1,genre_2,genre_3
/testament/,Absense Of Light,"Life as we know,
Is full of gloom
Oppress the masses
We'll lead to our doom
We want the right
To live or die
Can't take away
What we feel inside

Like empty shadows,
Afflict our brains
Envision dreams
Just to ease the pain
There's more to life
That to satisfy
I ask myself
For the reason why.

If it were my way
I'd deliver us from this hell
If it were my way.

If ever there comes a day
Renovations blown away
Realize what we've thrown away

Is there no end
To this endless war
The fear of man
In now what's in store.
We look at life as a memory
Long live the dreams
That they took from me.

If it were my way
I'd deliver us from this hell
If it were my way","thrash metal, metal, heavy metal",thrash metal,metal,heavy metal
/testament/,Curse of Osiris,"Osiris was murdered, by his brother Set
A pharaoh dethroned, brought back from the dead
Now Isis gave birth to their begotten son
Horus will train to avenge his father's death

Lord of Death within the afterlife
Protector of the underworld

Judgment shall pass upon the damned
Egypt cannot be saved
Undying beliefs corrupting the truth
Composed are the lies of the king

Lord of Death within the afterlife
Protector of the underworld

All shall bathe in the pain
No deceiver shall remain
Soon his uncle will die
Horus has taken his throne

Bring Forth Death
Horus has risen and taken his revenge
Bring Forth Death
Destin to kill and avenge his father's death

Lord of Death within the afterlife
Protector of the underworld

Unleashed the curse uncoils twisting like the snake
Victim of Regicide a brother meets his fate
Now from the other side forever shall he rest
Betrayed by his blood a blessing and his curse","thrash metal, testament, metal",thrash metal,testament,metal
/testament/,Fall Of Siple Dome,"Melting Ice Beneath the wave
Frozen ice sheets
Slowly start to break away
Another cycle has begun
The ice is flowing
The melt down has begun
Fall of siple dome...
The core reveals the past
Of a world once lost...

Shifting ice plates below
without warning
inter glacial sudden death
Land of ice, free to roam
Global warming
The sea will overflow

Sheets below, float in time
Arctic death millenium
Melted ice floods the earth
in twenty thousand years
the process repeats

Under ice the river flows
Swiftly moving
Falling earth into the sea
Death is slowly on the move
The level's rising
and there's nothing we can do
Fall of siple dome...
The core revealed the past
Of a world once lost...

Man will find the climate change
mandatory
Extinction of the human race
Apocalypse millenium
Our world gets colder
to meltdown by the sun

Sheets below, float in time
Arctic death millenium
Melted ice floods the earth
in twenty thousand years
the process repeats

And in the end yu will find
under the sea earth will rise
Freezing, melting, oceans, rise...

Tidal waves found the shore
Destroying cities
No longer can be recognised
Devastation to us all
The sea will rise
and a world soon to fall

Fall of siple doom...
The core revealed the past...
of a world once lost...
","thrash metal, metal, heavy metal",thrash metal,metal,heavy metal
/testament/,Man Kills Mankind,"Long befor the curtain call
The dregs they had been cast
Many screams and twisted dreams
Flames lead to the throne

Winds of change, keeps you searching for the truth
Sea of rage, slowly drowning wasted youth

Some poeple live to lie
Some poeple don't
Some poeple turn there Cheek, while others hate!

Don't ask why....

The broken world spins too slow, bitterness tasts sweet
Many paths, invoking wrath
The wolfs have stole the crown

Winds of change, keeps you searching for the truth
Sea of rage, slowly drowning wasted youth

Man kills mankind
Feeding the greed of the overfed swine
Man kills mankind
Again and again you choke on the vine
Man kills mankind
Feeding the greed of the overfed swine
Man kills mankind
Again and again you choke on the vine
Overfed swine you keep choking and choking...

[Alex solo]

Some poeple live to lie
Some poeple don't
Some poeple are born to die
Some poeple won't
Some poeple are well-to-do
Some poele ain't
Some poeple turn there Cheek, while others hate!

Don't ask why....

Man kills mankind
Feeding the greed of the overfed swine
Man kills mankind
Again and again you choke on the vine
Man kills mankind
Feeding the greed of the overfed swine
Man kills mankind
Again and again you choke on the vine
Man kills mankind

Again and again you choke on the vine, overfed swine,
You keep choking and choking...","thrash metal, metal, thrash",thrash metal,metal,thrash
/testament/,Sails Of Charon,"Dark night, there is no light
In the realm of the black magic man
Soul's flight into the cold blight
Of the destroyer's magic land

Poor man, whose spirits are stronger
They're the ones who will reign
You're struggles are in vain

Blind man, you're suckin' your own blood
Soon black magic's dying
You'd better start crying

Blind man, you're suckin' your own blood
Soon black magic's dying
You'd better start crying

Throw out your evil desire
The dark king's kingdom is
Made out of mire

Throw out your evil desire
The dark king's kingdom is
Made out of mire

Keep on for the kingdom of light
There is no darkness, there is no night","thrash metal, metal, heavy metal",thrash metal,metal,heavy metal
/testament/,The Ritual,"Say hello again, my friends
I've got to go
The ritual calls to me
Silent insanity
You really thought you'd never
Be the one who bleeds
It's all so clear to me now
Why they can't see ?
Revelations breaking through
The truth distorts
Untimely accident
Your precious mind is lost
Try to regain again my friend
Your sanity
The ritual calls to me
Melodic agony
You really never thought you would never
Be the one who bleeds
It's all so clear to me now
Why they can't see ?
Free away your mind
Walk behind the blind
Kill yourself killing time
Oooh, what'cha gonna say
When you are on your way
On your darkest day
Hey Darkest day
say goodbye again, my friends
I'm coming home
The ritual calls to me
Distant reality
Unless images expose
What I can't see
The ritual call to me
Won't ever set me free
You really thought you'd never
Be the one who bleeds
It's all so clear to me now
Why they can't see ?
Fry away your mind
Walk behind the blind
","thrash metal, heavy metal, metal",thrash metal,heavy metal,metal
/symphony-x/,Absence Of Light,"Now at my feet, the dying voice of
Balance - nevermore shall there be a
way to fly,
a way to fly on wings of Divinity, as
words of wisdom fade away

The Law of One will fade and die
The rising Moon will crush the Sky

So falls the Night - the darkest hour
Seek and find all the secrets left for you
Absence of Light - unbalanced power
Only then will you know

The hidden words - a piece of the
puzzle - Time will tell what will be
Between the lines, the past and future
you will find - the ones and zeros are
the key
to unlock what's sealed

The Law of One will fade and die
The rising Moon will crush the Sky

So falls the Night - the darkest hour
Justice lost - a travesty we must undo
Absence of Light - unbalanced power
Only then will you know

""Awaken all from Set - Amentet -
Worship all that I represent""

So falls the Night - the darkest hour
Destruction, death and war are in the
air
Absence of Light - unbalanced power
ruling all that we know

So falls the Night - the darkest hour
Unbound - what once was lost - now is
found
Absence of Light - unbalanced power
Only then will we know

""...curse the fools who look for enswers in a
Rhyme,...I am the future, I am Montu -
Sekhmet""
",,,,
/symphony-x/,Iconoclast,"Rise of the one -
The dark iconoclast
Forging a cult of fear,
With legions unsurpassed
Shouting the word -
With vicious tongues of fire
Born of illusion and deceit
Fiendish soul of a liar.

The chaos unseen rips
The midnight sky
Infernal machines arise
Flesh and steel collide

[Chorus:]
We are strong
We will stand and fight
We are strong
We will stand and fight

With rage we ride into the flames
Striking with spears of hate,
At the heart where evil reigns
Holding the line from the charge
Of armored steeds
Gather around this deadly ground,
Come watch the war god bleed.

The chaos unseen rips
The midnight sky
Infernal machines arise
Flesh and steel collide

We are strong
We will stand and fight
We are strong
We will stand and fight

Victory or death, only time will tell
Synthetic resurrection,
From the heart of hell
Slowly they fall, as we watch
The daylight die
We spit and curse this hallowed earth
With our final battle cry,

The chaos unseen rips
The midnight sky
Infernal machines arise -
Flesh and steel collide

We are strong
We will stand and fight
We are strong
We will stand and fight","progressive metal, metal, power metal",progressive metal,metal,power metal
/symphony-x/,Rediscovery (Part II) - The New Mythology,"A voice from the past echoes the fate -
a tale of all things yet to come
as it once was, so it shall be again
modern day Children of the Sun

Seek the hidden rhyme and there you'll find
a new world order
Feel the mystery - so much to see through the
eyes of hope

The Thoughts of Ma'at, forever secured -
locked in the Ages
Goddess of Truth speaks eternally
from the depths of the pages

Seek the hidden words - as time unfolds
you'll find the answers
Feel the mystery - look to the Sea, under
Skies of Hope

What have we done? Can we right all the
wrongs - the evils and fears, for thousands of
years, that forever drain our vitality?
Can this go on without dyer consequence?
Our tragic ways, the end of days that shadow
the dawn of eternity...

He's taken form in human - likeness
and manifests himself in all our darkest
dreams
Preying upon centuries of weakness
Feasting on despair and our own selfish
greed

Bow down to me - (we will never understand)
Then take my hand and you will see - (we'll see...)
you will see paradise - (a paradise?) - of
pain and death
awaiting for you all - (we'll decide the future)

Lost evermore the essence of truth, although
she tried in vein to bring us peace, it will
ever rest in our hands
We've cried a thousand tears for all we had,
and all the things we could have been,
we must find our way again

Fools who looks for answers in a rhyme,
seeking out a lie, an illusion
I am the future, the ageless mutation

Five beyond the skies align, Zeus to Ra - the
final sign

My opposition's drawing near, feeding on his
fear - tasting anguish
I have the power - the ageless invasion

Five beyond the skies align, Zeus to Ra - the
final sign
From the Messenger on Wings, Peace and
War - a line of Kings...

Again the Titans clash on the edge of this
earthen plane
Now from the depths they speak - echoing
from the wave
- From the Waves...

""Choose the way, five paths there for you to find
turn the page, the question lies between the lines can
we change?""
",,,,
/symphony-x/,The Haunting,"Lightning flashes across the sky
the hands of time keep falling like the pouring rain
Soft voice call my name; I've seen this place before
This whole thing is mad and still I can see
that he awaits for me

As the knife cuts to the vein
am I going insane? Have I lost my mind?
Ten years gone by, my friend, haunting me
scars will fade but never die

Prisioner waiting out my time
looking back through years gone by
My mind is always wondering what can I do
to seal a different fate,
can I undo the things I've done?
I lie on the ground without making a sound
and cry for my life
again

As the knife cuts to the vein
am I going insane? Have I lost my mind?
Ten years gone by, my friend, haunting me
scars will fade but never die

Staring down at me
through my eyes I can see
al the terror and pain still live on
I can't leave
silver strand is pulling me back to mortality

[Solo]

As the knife cuts to the vein
am I going insane? Have I lost my mind?
Ten years gone by, my friend, haunting me
scars will fade but never die
","progressive metal, symphony x, power metal",progressive metal,symphony x,power metal
