artist,song,lyrics,genres,genre_1,genre_2,genre_3
Elliott Smith,Riot Coming,"In Storyville I fucked a cop

Amped up on prescription pills

That brought my heart to a stop

And I want to tell you there's a riot coming

Like a drug in the water

A punch in the stomach makes sons into daughters



I met a girl on the square

Who showed me how to kill my cares

But once that's done, man, there's nothing to do

Time's running backwards for me and you



There's a riot coming

Like a drug in the water

A punch in the stomach makes sons into daughters

My body's running, but I don't see why it bothers



Sat down in jail with this friend of mine

Who'd never close both his eyes

But one was shut all the time

To cover the thing he was scared of

While he watched with the other



There was a riot coming

Like a drug in the water

A punch in the stomach makes sons into daughters



There's a riot coming

There's a riot coming

There's a riot coming","indie, acoustic, singer-songwriter",indie,acoustic,singer-songwriter
The Dubliners,The Travelling People,,"folk, irish, irish folk",folk,irish,irish folk
First Aid Kit,In The Morning,"In the morning

On your journey here to the sea

In the mountains

Your shadows beside me



You cross the pasture land

And threw your wedding band

Into the great deep

Where you'd rest to sleep

My dear



In the oceans where you lay

Where you've made your grave

They'll found you on the shore

Rosy no more

My dear



In the morning on your journey here to the sea

You crossed the pasture land

And threw your wedding band

Swallowing the seed

Of truth","folk, swedish, indie",folk,swedish,indie
John Prine,Humidity Built The Snowman,"Does he still think about her

Why there was never really any doubt

Every time he lights a candle

Or blows a candle out

The scientific nature of the ordinary man

Is to go on out and do the best you can



I don't think that you know

That I think you don't know

That old barometer goes crazy baby

Every time it starts to snow

You won't find me walking

Round your part of town

Humidity built the snowman

Sunshine brought him down



This world is full of people

They never seem to fall

Somebody said they seen you

You hadn't changed at all

The fundamental story

Of the contemporary man

Is to walk away and someday understand



I don't think that you know

That I think you don't know

That old barometer goes crazy baby

Every time it starts to snow

You won't find me walking

Round your part of town

Humidity built the snowman

Sunshine brought him down



The scientific nature of the ordinary man

Is to go on out and do the best you can



I don't think that you know

That I think you don't know

That old barometer goes crazy baby

Every time it starts to snow

You won't find me walking

Round your part of town

Humidity built the snowman

Sunshine brought him down



Humidity built the snowman

Sunshine brought him down

Brought him down","double-ender 3, folk, singer-songwriter",double-ender 3,folk,singer-songwriter
John Prine,When I Get To Heaven,"When I get to heaven, I'm gonna shake God's hand

Thank him for more blessings than one man can stand

Then I'm gonna get a guitar and start a rock-n-roll band

Check into a swell hotel, ain't the afterlife grand?



And then I'm gonna get a cocktail: vodka and ginger ale

Yeah, I'm gonna smoke a cigarette that's nine miles long

I'm gonna kiss that pretty girl on the tilt-a-whirl

'Cause this old man is goin' to town



Then as God as my witness, I'm gettin' back into show business

I'm gonna open up a nightclub called ""The Tree of Forgiveness""

And forgive everybody ever done me any harm

Well, I might even invite a few choice critics, those syph'litic parasitics

Buy 'em a pint of Smithwick's and smother 'em with my charm



'Cause then I'm gonna get a cocktail: vodka and ginger ale

Yeah I'm gonna smoke a cigarette that's nine miles long

I'm gonna kiss that pretty girl on the tilt-a-whirl

Yeah this old man is goin' to town



Yeah when I get to heaven, I'm gonna take that wristwatch off my arm

What are you gonna do with time after you've bought the farm?

And then I'm gonna go find my mom and dad, and good old brother Doug

Well I bet him and cousin Jackie are still cuttin' up a rug

I wanna see all my mama's sisters, 'cause that's where all the love starts

I miss 'em all like crazy, bless their little hearts

And I always will remember these words my daddy said

He said, ""Buddy, when you're dead, you're a dead pecker-head""

I hope to prove him wrong... that is, when I get to heaven



'Cause I'm gonna have a cocktail: vodka and ginger ale

Yeah I'm gonna smoke a cigarette that's nine miles long

I'm gonna kiss that pretty girl on the tilt-a-whirl

Yeah this old man is goin' to town

Yeah this old man is goin' to town","folk, singer-songwriter, country",folk,singer-songwriter,country
Iron & Wine,Our Friends Shine,,"folk, indie, singer-songwriter",folk,indie,singer-songwriter
Fleet Foxes,The Plains / Bitter Dancer,"Just as the sand made everything round

Just as the tar seeps up from the ground 

Bitter dancer, ever turning

So was the day that you came to town



You took a room and you settled in

Washed off the chalk from your weathered skin

Daylight sleeper

Bloody reaper

You took a room and you settled in



I should have known one day you would come

All of us walk so blind in the sun

Midnight feeder, beggar pleader

I should had known one day you would come



Tell me again my only son

Tell me again what have you done



At arm's lengths

I will hold you there

There



At arm's length

I will hold you there

There","folk, indie, folk rock",folk,indie,folk rock
Devendra Banhart,"16th & Valencia, Roxy Music","I don't know where to go

'Cause I know where to go

Well I know where not to go

'Cause I know where to go



Tonight we're gonna find our lover

Tonight we're gonna find our man



Riding six white horses

Wearing them pressed blue jeans

Gonna behead the king

And give the queen everything



'Cause tonight we're gonna find our lover

âCause tonight we're gonna find our man

We're gonna find our



We don't know where to go

We know where to go

We don't know what to do

We know what to do

We don't know where to go

We know where to go

We don't know anymore



I know I look high

But I'm just free dancing

I know I look hypnotized

But I'm just table tapping



'Cause tonight we ain't gonna find our lovers

Tonight we ain't gonna find our man



We don't know where to go

We know where to go

We don't know what to do

We know what to do

We don't know where to go

We know where to go

We don't know anymore

We don't know anymore",,,,
Devendra Banhart,Red Lagoon Whistling,"She got the happy happy oh

She got the happy happy oh

They had the falling falling oh

They had the falling falling oh

He had the coming out oh

He had the coming out oh

And I thought

Loving a man takes strength in me

When no one takes you seriously

Well sick out tonight

Now sick out tonight

With that flat out, flat out oh

With that flat out, flat out oh",,,,
James Vincent Mcmorrow,From the Woods!!,"From the woods, from the woods

They are coming from the woods

Riding horses cloaked in gray

Make their way, to my door

Lay their boots upon the floor

Wash their hands and start to pray

But I am gone, I am not there

I have followed mountain bears

To a cave of deepest home

Now I wait, by the mouth

As the smoke it flushes out

Then I'll slowly drag one home



All these things are ever lost

Stillness has brought my love to cost



From the woods, from the woods

Once a vision from the woods

At a point between two tracks

Bound by tape, and by wire

Bruised and beaten in the fire

So the metals faded black

Newer ropes, stronger nets

Have us plumbing further depths

For the wolves we'll never be

Should we go, would we die

If the weight it was to slide

Drag our secrets to the sea



All these things are ever lost

Stillness has brought my love to cost



And I taste the sulfur on my breath

And I see the blood pool on the step

The moon so thick, the wounds so fresh

And all is well...



From the woods, from the woods,

They are coming from the woods!",,,,
