artist,song
/belphegor/,Black Wing Torment
/belphegor/,Enthralled Toxic Sabbath
/belphegor/,Necrodaemon Terrorsathan
/belphegor/,Sanctus Perversum
/belphegor/,The Sin-hellfucked
/burzum/,Beholding The Daughters Of The Firmament
/burzum/,In The Castle Of The Dream
/burzum/,Turn The Sign Of Microcosm
/freedom-call/,Bleeding Heart
/freedom-call/,Eternal Flame
/freedom-call/,Heart Of The Brave
/freedom-call/,Island Of Dreams
/freedom-call/,Merlin - Requiem
/freedom-call/,Pharao
/freedom-call/,Sail Away
/freedom-call/,Terra Liberty
/freedom-call/,Thunder God
/riot/,This Is What I Get
/riot/,Bring The Hammer Down
/riot/,Feel The Same
/riot/,Heavy Metal Machine
/riot/,Killer
/riot/,On Wings Of Eagles
/riot/,Road Racin'
/riot/,Still Your Man
/riot/,Unleash The Fire
/allen-lande/,In The Hands Of Time
/allen-lande/,Dream About Tomorrow
/allen-lande/,Maya
/allen-lande/,The Guardian
/allen-lande/,When Time Doesn't Heal
/sentenced/,Beyond The Distant Valleys
/sentenced/,Crumbling Down (Give Up Hope)
/sentenced/,Drown Together
/sentenced/,Funeral Spring
/sentenced/,Let Go (The Last Chapter)
/sentenced/,New Age Messiah
/sentenced/,Phenix
/sentenced/,The Suicider
/sentenced/,White Wedding
/demons-wizards/,Flames Of Revenge
/demons-wizards/,Poor Man's Crusade
/vision-divine/,The Perfect Machine
/vision-divine/,Ascension
/vision-divine/,Eyes Of A Child
/vision-divine/,Here We Die
/vision-divine/,Out Of A Distant Night (voices)
/vision-divine/,The 25th Hour
/vision-divine/,The Killing Speed Of Time
/vision-divine/,Versions Of The Same
/suffokate/,Every Crisis Faced
/suffokate/,No Purpose In Life
/suffokate/,The Skies Were Filled With Fire
/emperor/,An Elegy Of Icaros
/emperor/,Gypsy
/emperor/,Sworn
/emperor/,The Wanderer
/cavalera-conspiracy/,Psychosomatic
/cavalera-conspiracy/,Father Of Hate
/cavalera-conspiracy/,Killing Inside
/cavalera-conspiracy/,Scum
/cavalera-conspiracy/,Warlord
/brainstorm-heavy-metal/,Beyond My Destiny
/brainstorm-heavy-metal/,Deep Down Into Passion
/brainstorm-heavy-metal/,Erased by The Dark
/brainstorm-heavy-metal/,Frozen
/brainstorm-heavy-metal/,In These Walls
/brainstorm-heavy-metal/,Love Is A Lie
/brainstorm-heavy-metal/,Protect Me From Myself
/brainstorm-heavy-metal/,Shiva's Tears
/brainstorm-heavy-metal/,The Chosen
/brainstorm-heavy-metal/,We Are
/leaves-eyes/,Blazing Waters
/leaves-eyes/,For Amelie
/leaves-eyes/,King Of Kings
/leaves-eyes/,My Destiny
/leaves-eyes/,Ragnarok
/leaves-eyes/,Swords In Rock
/leaves-eyes/,The Waking Eye
/whitechapel/,A Bloodsoaked Symphony
/whitechapel/,Daemon [the Pro-created]
/whitechapel/,Eternal Refuge
/whitechapel/,"I, Dementia"
/whitechapel/,Possession
/whitechapel/,The Night Remains
/whitechapel/,Vicer Exciser
/cathedral/,Beneath A Funeral Sun
/cathedral/,Cyclops Revolution
/cathedral/,Fire
/cathedral/,Hypnos 164
/cathedral/,Night Of The Seagulls
/cathedral/,"Reaching Happiness, Touching Pain"
/cathedral/,Stained Glass Horizon
/cathedral/,Upon Azrael's Wings
/the-sins-of-thy-beloved/,All Alone
/the-sins-of-thy-beloved/,Until The Dark
/korzus/,Cruelty
/korzus/,Kids Of The Streets
/korzus/,Punisher
/korzus/,The Sadist
/royal-hunt/,Age Gone Wild
